d_beg, d_end, Y, x, y
100, 100, 0.1401, 0.2953, 0.2685
0, 3, 50.53, 0.3141, 0.3407
2, 5, 9.028, 0.2983, 0.3182
4, 7, 0.9871, 0.2601, 0.2499
6, 9, 1.039, 0.241, 0.2195
8, 11, 1.331, 0.2111, 0.1832
10, 13, 1.29, 0.2097, 0.1737
12, 15, 0.9302, 0.22, 0.1838
14, 17, 0.5379, 0.2312, 0.1968
16, 19, 0.3247, 0.2548, 0.23
18, 21, 0.2513, 0.2746, 0.2561
20, 23, 0.2202, 0.2808, 0.2633
22, 25, 0.2136, 0.2863, 0.2691
24, 27, 0.2027, 0.2888, 0.2681
26, 29, 0.1857, 0.292, 0.2662
28, 31, 0.1842, 0.291, 0.2721
30, 33, 0.1823, 0.293, 0.2715
32, 35, 0.1718, 0.2922, 0.2723
34, 37, 0.166, 0.2914, 0.269
36, 39, 0.1656, 0.2929, 0.2723
38, 41, 0.1588, 0.2947, 0.2661
40, 43, 0.1538, 0.2902, 0.2647
42, 45, 0.1552, 0.2949, 0.2698
44, 47, 0.152, 0.2978, 0.2732
46, 49, 0.1421, 0.299, 0.2675
48, 51, 0.1415, 0.2972, 0.2705
0, 5, 49.71, 0.3127, 0.3386
2, 7, 17.76, 0.3039, 0.3258
4, 9, 1.686, 0.2437, 0.2265
6, 11, 1.897, 0.2182, 0.1919
8, 13, 2.066, 0.2084, 0.177
10, 15, 1.736, 0.2106, 0.1756
12, 17, 1.101, 0.2209, 0.1857
14, 19, 0.6117, 0.2333, 0.2036
16, 21, 0.3772, 0.2581, 0.2368
18, 23, 0.3015, 0.2746, 0.2623
20, 25, 0.2671, 0.2794, 0.265
22, 27, 0.2501, 0.2848, 0.2678
24, 29, 0.2264, 0.285, 0.2693
26, 31, 0.2169, 0.2877, 0.27
28, 33, 0.2012, 0.2892, 0.2691
30, 35, 0.1982, 0.2896, 0.2715
32, 37, 0.1966, 0.2919, 0.2706
34, 39, 0.1872, 0.2925, 0.2723
36, 41, 0.174, 0.2921, 0.2692
38, 43, 0.1714, 0.2925, 0.2696
40, 45, 0.1665, 0.2958, 0.2701
42, 47, 0.1615, 0.2969, 0.2704
44, 49, 0.1531, 0.2981, 0.2684
46, 51, 0.1421, 0.2999, 0.2631
48, 53, 0.1401, 0.2957, 0.2689
